GRIDCODE	CVENMUN	Fb
655908	08037	0.000252251
655909	08037	0.001302329
655909	08037	0.000211688
655910	08037	7.53201E-05
655910	08037	9.05287E-05
655910	08037	0.000290949
655910	08037	0.000813603
655911	08037	0.001663031
655911	08037	0.001199431
655912	08037	0.000311254
655912	08037	0.002551208
655913	08037	0.001168412
655913	08037	0.001002659
655914	08037	0.000345621
656951	08005	0.007523112
656952	08005	0.007523112
656953	08005	0.007523112
656954	08005	0.007523112
656955	08037	8.86302E-05
656955	08005	0.007290174
656956	08037	0.001815206
656956	08005	0.002752394
656957	08037	0.002675391
656957	08005	0.000491658
656958	08037	0.002862462
656959	08037	0.002862462
656960	08037	0.002862462
656961	08037	0.002862462
656962	08037	0.002862462
656963	08037	0.000719021
656963	08037	0.002143441
656964	08037	0.002862462
656965	08037	0.002820574
656965	08037	4.18881E-05
656966	08037	0.001221932
656966	08037	0.00164053
656967	08037	4.74075E-05
656967	08037	0.002815054
656968	08037	0.000563748
656968	08037	0.002159457
656969	08037	0.000511515
656969	08037	4.5388E-06
656969	08037	0.000705745
656970	08037	3.59484E-06
656970	08037	0.00184192
656971	08037	0.00073314
656971	08037	0.000418249
656972	08037	8.15573E-05
658010	08005	0.007523112
658011	08005	0.007523112
658012	08005	0.007523112
658013	08005	0.007523112
658014	08005	0.007523112
658015	08037	0.000999494
658015	08005	0.004896244
658016	08037	0.002857135
658016	08005	1.39995E-05
658017	08037	0.002862462
658018	08037	0.002862462
658019	08037	0.002862462
658020	08037	0.002862462
658021	08037	0.002862462
658022	08037	0.001186081
658022	08037	0.001676381
658023	08037	0.002862462
658024	08037	0.000703336
658024	08037	0.002159126
658025	08037	0.002862462
658026	08037	0.002862462
658027	08037	0.000988803
658029	08037	5.33464E-05
659069	08005	0.007523112
659070	08005	0.007523112
659071	08005	0.007523112
659072	08005	0.007523112
659073	08005	0.007523112
659074	08005	0.007523112
659075	08037	0.002188119
659075	08005	0.001772306
659076	08037	0.002862462
659077	08037	0.002862462
659078	08037	0.002862462
659079	08037	0.002862462
659080	08037	0.002862462
659081	08037	0.00012642
659081	08037	0.002736042
659082	08037	0.002722946
659082	08037	0.000139516
659083	08037	0.00074189
659083	08037	0.002120572
659084	08037	0.002862462
659085	08037	0.002861223
659086	08037	0.00041269
660128	08005	0.007523112
660129	08005	0.007523112
660130	08005	0.007523112
660131	08005	0.007523112
660132	08005	0.007523112
660133	08005	0.007523112
660134	08037	0.002629756
660134	08005	0.000611596
660135	08037	0.002862462
660136	08037	0.002862462
660137	08037	0.002862462
660138	08037	0.002862462
660139	08037	0.002862462
660140	08037	0.001072166
660140	08037	0.001790296
660141	08037	0.002578461
660141	08037	0.000284001
660142	08037	0.000951254
660142	08037	0.001911208
660143	08037	0.00081242
660143	08037	0.001716754
660144	08037	0.00075321
661187	08005	0.007523112
661188	08005	0.007523112
661189	08005	0.007523112
661190	08005	0.007523112
661191	08005	0.007523112
661192	08037	0.000195389
661192	08005	0.00700959
661193	08037	0.002847389
661193	08005	3.96147E-05
661194	08037	0.002862462
661195	08037	0.002862462
661196	08037	0.002862462
661197	08037	0.002862462
661198	08037	0.002862462
661199	08037	0.00032662
661199	08037	0.002535842
661200	08037	0.001554624
661200	08037	0.001307837
661201	08037	0.002473699
661201	08037	0.000388763
661202	08037	0.002057861
661203	08037	9.66076E-07
662246	08005	0.007523112
662247	08005	0.007523112
662248	08005	0.007523112
662249	08005	0.007523112
662250	08005	0.007523112
662251	08037	0.001547392
662251	08005	0.003456263
662252	08037	0.002862462
662253	08037	0.002862462
662254	08037	0.002862462
662255	08037	0.002862462
662256	08037	0.002862462
662257	08037	0.002862462
662258	08037	0.002862462
662259	08037	0.002862462
662260	08037	0.000170389
662260	08037	0.002692073
662261	08037	0.001861361
662261	08037	0.000504571
662262	08037	0.000180085
663305	08005	0.004297351
663306	08005	0.004014069
663307	08005	0.003731295
663308	08005	0.003484704
663309	08005	0.003233843
663310	08037	0.000721661
663310	08005	0.001081251
663311	08037	0.001035467
663312	08037	0.000941582
663313	08037	0.000853286
663314	08037	0.000764887
663315	08037	0.00067526
663316	08037	0.000585225
663317	08037	0.000489704
663318	08037	0.000391895
663319	08037	0.000291502
663320	08037	0.000121259
663320	08037	4.55056E-05
